Unnamed: 0,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
40,러브샷,"무짜,무짜",수,로맨스,"큐피드가 내 연애에
트롤짓을 저질렀다.
이건 사랑이 아니야!",카카오,https://webtoon.kakao.com/content/러브샷/2759,https://kr-a.kakaopagecdn.com/P/C/2759/c1/2x/feef9afc-77ef-4071-bb4b-997bd1a99c98.png
0,내일도 출근!,"맥퀸스튜디오,맥퀸스튜디오",일,로맨스,"회사 최악의 까칠남
결혼은 싫다는 전남친
누구를 선택해야 하지?",카카오,https://webtoon.kakao.com/content/내일도-출근/1873,https://kr-a.kakaopagecdn.com/P/C/1873/c1/2x/d03fa497-de86-4675-90a0-bc528accd12f.png
1,각색남주,"시라빈,시라빈",일,로맨스,"저기요! 
제 남주 모델이
되어주실래요?!",카카오,https://webtoon.kakao.com/content/각색남주/3082,https://kr-a.kakaopagecdn.com/P/C/3082/c1/2x/57875f09-0971-41df-9e78-5f20ab359a47.png
2,가드패스,"오손도손,오손도손",일,학원/판타지,"친구를 위한 격투극
적의 가드를 패스하고
내게 유리한 포지션으로",카카오,https://webtoon.kakao.com/content/가드패스/2511,https://kr-a.kakaopagecdn.com/P/C/2511/c1/2x/865d0bec-8d72-458c-9ac0-6387ca21d344.png
3,퀴퀴한 일기,"2B,2B",일,코믹/일상,"즈질스럽고 
퀴퀴한 언니의 
쿰쿰한 일상다반사",카카오,https://webtoon.kakao.com/content/퀴퀴한-일기/1295,https://kr-a.kakaopagecdn.com/P/C/1295/c1/2x/4f7e543a-0941-4928-852e-3c38ca55b39c.png
4,슬프게도 이게 내 인생,"슬,슬",일,코믹/일상,"사회생활 원래 이래?
천방지축 사회초년생
슬이의 다이나믹 인생!",카카오,https://webtoon.kakao.com/content/슬프게도-이게-내-인생/1575,https://kr-a.kakaopagecdn.com/P/C/1575/c1/2x/aab8b6ac-e500-4323-9b16-4015ddd6edf9.png
5,존재,"광진,김경준",일,판타지 드라마,"수많은 윤회 끝에
인간으로 태어났다.
인간의 멸종을 위해.",카카오,https://webtoon.kakao.com/content/존재/2957,https://kr-a.kakaopagecdn.com/P/C/2957/c1/2x/a63bf7e9-b40a-46d9-ae9e-466973a7aec4.png
6,우리 청춘의 사랑은,"손달섭,손달섭",일,코믹/일상,"사탕보다 더 달콤했던
찬란한 청춘의 사랑
다시 한번 느껴보실?",카카오,https://webtoon.kakao.com/content/우리-청춘의-사랑은/2600,https://kr-a.kakaopagecdn.com/P/C/2600/c1/2x/0e5e63d4-7a9c-4696-8b5b-83f3babdda7e.png
7,안녕은하세요,"검둥,검둥",일,로맨스,"장르 사기 아닙니다.
강한 독자님만 견디는
하이퍼리즘 GL 로맨스",카카오,https://webtoon.kakao.com/content/안녕은하세요/2819,https://kr-a.kakaopagecdn.com/P/C/2819/c1/2x/1dd30b81-a216-4159-952d-0e346f14aa0c.png
8,이토록 보통의,"캐롯,캐롯",일,판타지 드라마,"우리 모두의 삶
특별하지만,
보통 우리의 연애",카카오,https://webtoon.kakao.com/content/이토록-보통의/1351,https://kr-a.kakaopagecdn.com/P/C/1351/c1/2x/6e52bf38-c253-4021-9a9e-183a32739471.png
9,무법대학,"기령,조민호",일,액션/무협,"폭력과 비밀이 가득한
가온대학에 입학한
오정서의 끝없는 싸움",카카오,https://webtoon.kakao.com/content/무법대학/2517,https://kr-a.kakaopagecdn.com/P/C/2517/c1/2x/88ad795e-26fe-4e7e-97c2-200c4f91f710.png
